Date	Month	Symbol	Open	High	Low	Close	Volume
1/4/2021	Apr	BTCUSD	3698.02	3737.83	3662.71	51067.84	1001.26
1/4/2021	Apr	BTCUSD	3712.2	3769.99	3694.12	33992.88	10036.63
1/5/2021	Apr	BTCUSD	3731.17	3778.05	3695.07	36397.5	1007.72
1/5/2021	Apr	BTCUSD	3755.75	3783.04	3705.34	58428.9	1014.17
1/6/2021	Apr	BTCUSD	3764.61	3784.32	3723.34	47052.84	1019.19
1/6/2021	Apr	BTCUSD	3764.71	3788.73	3725.62	48280.5	1026.12
1/7/2021	Apr	BTCUSD	3778.05	3804.53	3730.19	49610.32	1027.29
1/7/2021	Apr	BTCUSD	3781.88	3810.78	3732.48	56710	1027.91
1/8/2021	Apr	BTCUSD	3788.73	3811.55	3749.62	62249.6	1036.53
1/8/2021	Apr	BTCUSD	3791.84	3817.86	3755.75	61172.03	1043.91
1/9/2021	Apr	BTCUSD	3793.58	3820.96	3764.71	64857.63	1050.51
1/10/2021	Apr	BTCUSD	3801.62	3823.6	3776.51	49350	1051.66
1/11/2021	Apr	BTCUSD	3802.23	3826.69	3780.37	57163.87	1057.04
1/11/2021	Apr	BTCUSD	3803.14	3830.5	3783.6	42239.94	1058.07
1/12/2021	Apr	BTCUSD	3814.98	3836.83	3789.02	47907	1069.57
1/12/2021	Apr	BTCUSD	3815.05	3843.09	3789.54	34360.84	1073.6
1/13/2021	Apr	BTCUSD	3816.22	3843.67	3791.5	32671.54	1083.12
1/13/2021	Apr	BTCUSD	3818.53	3847.51	3791.84	49596.74	1105.14
1/14/2021	Apr	BTCUSD	3836.66	3851.69	3792.86	57756.25	1105.16
1/14/2021	Apr	BTCUSD	3836.83	3852.31	3797.16	46910.99	1112.09
1/15/2021	Apr	BTCUSD	3839.66	3859.23	3805.59	50292.02	1114.4
1/15/2021	Apr	BTCUSD	3840.27	3859.75	3814.04	61719.1	1116.81
1/16/2021	Apr	BTCUSD	3842.51	3861.08	3816.22	46502.44	1119.63
1/17/2021	Apr	BTCUSD	3844.24	3861.45	3816.68	56380.25	1140.49
1/18/2021	Apr	BTCUSD	3844.39	3870.9	3818.86	33608.78	1153.46
1/19/2021	Apr	BTCUSD	3851.68	3872.42	3819.25	50591.21	1157.04
1/19/2021	Apr	BTCUSD	3851.93	3874.47	3830.41	56520.58	1166.24
1/20/2021	Apr	BTCUSD	3857.07	3881.06	3836.66	59407.55	1166.89
1/20/2021	Apr	BTCUSD	3857.46	3894.56	3842.51	49692.22	1167.15
1/21/2021	Apr	BTCUSD	3862.96	3895.98	3845.05	57934.16	1173.72
1/21/2021	April	BTCUSD	3863.99	3902.92	3847.78	44673.36	1191.06
1/22/2021	April	BTCUSD	3873.71	3903.76	3851.93	48837.62	1213.11
1/22/2021	April	BTCUSD	3878.3	3906.41	3853.5	49567.4	1215.6
1/23/2021	April	BTCUSD	3879.34	3914.5	3859.6	50162.48	1220.79
1/24/2021	April	BTCUSD	3885.55	3915.77	3868.57	59800	1221
1/25/2021	April	BTCUSD	3891.99	3917.35	3874.71	32598.43	1223.1
1/25/2021	April	BTCUSD	3892.59	3918.35	3874.93	66491.25	1229.46
1/26/2021	April	BTCUSD	3903.64	3919.54	3884.94	51638.18	1231.14
1/26/2021	April	BTCUSD	3910.49	3921.98	3885.03	49263.44	1235.89
1/27/2021	April	BTCUSD	3911.65	3925.02	3885.73	39811.54	1237.92
1/27/2021	April	BTCUSD	3913.14	3925.99	3886.75	44094.55	1238.61
1/28/2021	April	BTCUSD	3915.54	3928.65	3889.07	38107.34	1239.87
1/28/2021	April	BTCUSD	3915.8	3930.12	3890.39	47962.79	1247.38
1/29/2021	April	BTCUSD	3915.86	3930.41	3892.59	47381.8	1252.44
1/29/2021	April	BTCUSD	3916.4	3931.5	3900.43	35000	12556.01
1/30/2021	April	BTCUSD	3916.48	3933.61	3901.57	33799.81	1273.26
1/31/2021	April	BTCUSD	3917.12	3937.23	3902.64	48017.93	1275.01
2/1/2021	April	BTCUSD	3918.5	3942.08	3903.07	47629.1	1276.62
2/1/2021	April	BTCUSD	3919.93	3944.99	3905.78	60728	1278.71
2/2/2021	April	BTCUSD	3920.78	3949.13	3910.86	31853.69	1282.07
2/2/2021	April	BTCUSD	3921.16	3950.43	3914.16	60362.18	1286.15
2/3/2021	Aug	BTCUSD	3924.52	3955.31	3915.21	46312.19	1294.1
2/3/2021	Aug	BTCUSD	3937.6	3960.27	3915.54	34877.3	1298.16
2/4/2021	Aug	BTCUSD	3939.61	3968.01	3917.12	33689.58	1319.58
2/4/2021	Aug	BTCUSD	3942.96	3969.62	3923.54	33540.48	1321.23
2/5/2021	Aug	BTCUSD	3949.57	3970.08	3923.85	33087.26	1322.29
2/5/2021	Aug	BTCUSD	3953.5	3978.19	3935.74	33942.22	1323.66
2/6/2021	Aug	BTCUSD	3963.34	3981.04	3943.25	44074.77	1324.73
2/7/2021	Aug	BTCUSD	3967.25	3981.83	3944.35	48839.62	1328.32
